Method name: Brant Combine Method
The resulting minimum is 0,2408
Count of operations 14
\begin{tabular}{|c|c|c|c|c|c|c|c|c|c|c|}
\hline
№ & left-border & right-border & x & x-fun & w & w-fun & v & v-fun & u & u-fun\\ \hline
1 & 0,0000 & 1,0000 & 0,5000 & 6,3211 & 0,5000 & 6,3211 & 0,5000 & 6,3211 & 0,0000 & 6,0000\\ \hline
2 & 0,0000 & 0,5000 & 0,1910 & 5,1861 & 0,5000 & 6,3211 & 0,5000 & 6,3211 & 0,1910 & 5,1861\\ \hline
3 & 0,0000 & 0,3090 & 0,1910 & 5,1861 & 0,3090 & 5,2221 & 0,5000 & 6,3211 & 0,3090 & 5,2221\\ \hline
4 & 0,1910 & 0,3090 & 0,2318 & 5,1496 & 0,1910 & 5,1861 & 0,3090 & 5,2221 & 0,2318 & 5,1496\\ \hline
5 & 0,1910 & 0,2500 & 0,2318 & 5,1496 & 0,2500 & 5,1497 & 0,1910 & 5,1861 & 0,2500 & 5,1497\\ \hline
6 & 0,2318 & 0,2500 & 0,2352 & 5,1488 & 0,2318 & 5,1496 & 0,2500 & 5,1497 & 0,2352 & 5,1488\\ \hline
7 & 0,2352 & 0,2500 & 0,2409 & 5,1483 & 0,2352 & 5,1488 & 0,2318 & 5,1496 & 0,2409 & 5,1483\\ \hline
8 & 0,2352 & 0,2444 & 0,2409 & 5,1483 & 0,2444 & 5,1485 & 0,2352 & 5,1488 & 0,2444 & 5,1485\\ \hline
9 & 0,2398 & 0,2444 & 0,2409 & 5,1483 & 0,2398 & 5,1484 & 0,2444 & 5,1485 & 0,2398 & 5,1484\\ \hline
10 & 0,2398 & 0,2409 & 0,2409 & 5,1483 & 0,2409 & 5,1483 & 0,2398 & 5,1484 & 0,2409 & 5,1483\\ \hline
11 & 0,2407 & 0,2409 & 0,2409 & 5,1483 & 0,2407 & 5,1483 & 0,2409 & 5,1483 & 0,2407 & 5,1483\\ \hline
12 & 0,2407 & 0,2409 & 0,2407 & 5,1483 & 0,2409 & 5,1483 & 0,2407 & 5,1483 & 0,2407 & 5,1483\\ \hline
13 & 0,2407 & 0,2409 & 0,2408 & 5,1483 & 0,2407 & 5,1483 & 0,2409 & 5,1483 & 0,2408 & 5,1483\\ \hline
14 & 0,2407 & 0,2408 & 0,2408 & 5,1483 & 0,2408 & 5,1483 & 0,2407 & 5,1483 & 0,2408 & 5,1483\\ \hline
\end{tabular}
